province,year,month,mean_lights
Camarines Norte,2012,9,0.014471321
Camarines Sur,2012,9,0.007759595
Catanduanes,2012,9,0.004445979
Masbate,2012,9,7.69E-04
Sorsogon,2012,9,0.009173755
Aklan,2012,9,0.031503903
Antique,2012,9,0.053614275
Capiz,2012,9,0.042124033
Negros Occidental,2012,9,0.039554454
Bohol,2012,9,0.018241201
Cebu,2012,9,0.070889164
Negros Oriental,2012,9,0.026562713
Siquijor,2012,9,0.042466718
Eastern Samar,2012,9,0.061001381
Northern Samar,2012,9,0.006705969
Southern Leyte,2012,9,0.096613261
Samar,2012,9,0.050256033
Agusan Del Norte,2012,9,0.094080928
Agusan Del Sur,2012,9,0.054950835
Surigao Del Sur,2012,9,0.057804207
Lanao Del Sur,2012,9,0.06076897
Sulu,2012,9,0.031977577
Tawi-tawi,2012,9,0.010709717
Basilan,2012,9,0.056684794
Zamboanga Del Norte,2012,9,0.072185839
Bukidnon,2012,9,0.027135873
Camiguin,2012,9,0.027722178
Misamis Occidental,2012,9,0.085851678
Misamis Oriental,2012,9,0.02087488
Lanao Del Norte,2012,9,0.056909966
Davao Del Sur,2012,9,0.405484837
Davao Oriental,2012,9,0.036353582
North Cotabato,2012,9,0.06651512
Sultan Kudarat,2012,9,0.060868512
Bataan,2012,9,0.155027564
Bulacan,2012,9,0.216198561
Nueva Ecija,2012,9,0.141057507
Pampanga,2012,9,0.560403067
Tarlac,2012,9,0.244932942
Zambales,2012,9,0.059770469
Aurora,2012,9,0.027339099
Batangas,2012,9,0.240723555
Cavite,2012,9,0.23388977
Laguna,2012,9,0.22647956
Quezon,2012,9,0.070203228
Rizal,2012,9,0.210473668
Marinduque,2012,9,0.11228955
Mindoro Occidental,2012,9,0.006603697
Mindoro Oriental,2012,9,0.006538636
Palawan,2012,9,0.001091143
Romblon,2012,9,0.018720911
Guimaras,2012,10,0.069665178
Iloilo,2012,10,0.154508689
Biliran,2012,10,0.018117359
Leyte,2012,10,0.061365895
Saranggani,2012,10,0.004436103
South Cotabato,2012,10,0.081635221
Compostela,2012,10,0.034256325
Davao del Norte,2012,10,0.076080484
Zamboanga Sibugay,2012,10,7.27E-04
Zamboanga Del Sur,2012,10,0.080644602
Dinagat,2012,10,0.047549801
Surigao Del Norte,2012,10,-0.005132873
Maguindanao,2012,10,0.020250645
Shariff Kabunsuan,2012,10,0.012344725
Abra,2012,10,0.035790103
Apayao,2012,10,0.058445746
Benguet,2012,10,0.316454195
Ifugao,2012,10,0.057716551
Kalinga,2012,10,0.046809025
Mountain Province,2012,10,0.039710989
Metropolitan Manila,2012,10,14.93339727
Ilocos Norte,2012,10,0.138511864
Ilocos Sur,2012,10,0.150676011
La Union,2012,10,0.243040211
Pangasinan,2012,10,0.252793259
Batanes,2012,10,0.091982967
Cagayan,2012,10,0.088905617
Isabela,2012,10,0.111361312
Nueva Vizcaya,2012,10,0.089723789
Quirino,2012,10,0.096712832
Albay,2012,10,0.082386807
Camarines Norte,2012,10,0.026673022
Camarines Sur,2012,10,0.054108552
Catanduanes,2012,10,-0.015003043
Masbate,2012,10,0.006358068
Sorsogon,2012,10,0.036396144
Aklan,2012,10,0.020095271
Antique,2012,10,0.072310235
Capiz,2012,10,0.031187679
Negros Occidental,2012,10,0.00744666
Bohol,2012,10,0.0060247
Cebu,2012,10,0.008428479
Negros Oriental,2012,10,-0.01011189
Siquijor,2012,10,0.010565946
Eastern Samar,2012,10,0.012026152
Northern Samar,2012,10,0.014084737
Southern Leyte,2012,10,0.012000924
Samar,2012,10,0.007773413
Agusan Del Norte,2012,10,0.013461595
Agusan Del Sur,2012,10,0.029270021
Surigao Del Sur,2012,10,0.009713903
Lanao Del Sur,2012,10,0.054601214
Sulu,2012,10,0.017949304
Tawi-tawi,2012,10,0.009018114
Basilan,2012,10,0.015002128
Zamboanga Del Norte,2012,10,0.00529122
Bukidnon,2012,10,0.051638754
Camiguin,2012,10,0.007452303
Misamis Occidental,2012,10,0.024251002
Misamis Oriental,2012,10,0.041213178
Lanao Del Norte,2012,10,0.052990249
Davao Del Sur,2012,10,0.181257672
Davao Oriental,2012,10,-0.00279862
North Cotabato,2012,10,0.013218941
Sultan Kudarat,2012,10,0.019752427
Bataan,2012,10,0.743548089
Bulacan,2012,10,0.713789596
Nueva Ecija,2012,10,0.162803833
Pampanga,2012,10,1.48895492
Tarlac,2012,10,0.36121332
Zambales,2012,10,0.188782575
Aurora,2012,10,0.050282251
Batangas,2012,10,0.711616519
Cavite,2012,10,2.095440711
Laguna,2012,10,1.384947277
Quezon,2012,10,0.071744032
Rizal,2012,10,0.899527062
Marinduque,2012,10,0.001244819
Mindoro Occidental,2012,10,-0.009542858
Mindoro Oriental,2012,10,0.022806569
Palawan,2012,10,-0.036804089
Romblon,2012,10,-0.019420397
Guimaras,2012,11,0.011369032
Iloilo,2012,11,0.159100886
Biliran,2012,11,-0.047838762
Leyte,2012,11,0.039727127
Saranggani,2012,11,-0.072149289
South Cotabato,2012,11,0.201863774
Compostela,2012,11,-0.021584529
Davao del Norte,2012,11,0.083162738
Zamboanga Sibugay,2012,11,-0.031393302
Zamboanga Del Sur,2012,11,0.06037725
Dinagat,2012,11,-0.03606665
Surigao Del Norte,2012,11,-0.024991846
Maguindanao,2012,11,-0.075217731
Shariff Kabunsuan,2012,11,-0.027467593
Abra,2012,11,-0.089074389
Apayao,2012,11,-0.084753205
Benguet,2012,11,0.209875997
Ifugao,2012,11,-0.095676538
Kalinga,2012,11,-0.069448218
Mountain Province,2012,11,-0.097200483
Metropolitan Manila,2012,11,15.39962833
Ilocos Norte,2012,11,0.028772846
Ilocos Sur,2012,11,0.030866527
La Union,2012,11,0.134920517
Pangasinan,2012,11,0.147401464
Batanes,2012,11,-0.075108669
Cagayan,2012,11,-0.054226808
Isabela,2012,11,-0.04339131
Nueva Vizcaya,2012,11,-0.079818133
Quirino,2012,11,-0.079724494
Albay,2012,11,0.101862384
Camarines Norte,2012,11,-0.024330435
Camarines Sur,2012,11,0.012596549
Catanduanes,2012,11,-0.051881923
Masbate,2012,11,-0.011953042
Sorsogon,2012,11,0.011794195
Aklan,2012,11,0.061341458
Antique,2012,11,-7.85E-05
Capiz,2012,11,0.010939281
Negros Occidental,2012,11,0.1339421
Bohol,2012,11,-0.011066903
Cebu,2012,11,0.748589614
Negros Oriental,2012,11,0.016807482
Siquijor,2012,11,0.007091579
Eastern Samar,2012,11,-0.083131324
